# aiup managed catalog manifest
# aiup-runtime-version: 2026.09.04-07
# id<TAB>category<TAB>kind<TAB>lifecycle<TAB>label<TAB>official documentation URL<TAB>package target (optional)<TAB>official update metadata endpoint template (optional)
brew	infra	special	active	Homebrew — required for formulae, casks, and Node/npm on this system (not removable)	https://github.com/Homebrew/brew
npm	infra	special	active	Node/npm via Homebrew (infrastructure; update-only, not removable)	https://github.com/nodejs/node
uv	infra	curl-installer	active	Astral uv/uvx — Python toolchain (also used to install Aider/llm)	https://github.com/astral-sh/uv
fzf	infra	brew-formula	active	fzf fuzzy finder — required interactive catalog	https://github.com/junegunn/fzf	fzf
gh	dev-utils	brew-formula	active	GitHub CLI	https://github.com/cli/cli	gh
wrangler	dev-utils	brew-formula	active	Cloudflare Workers CLI (cloudflare-wrangler)	https://github.com/cloudflare/workers-sdk	cloudflare-wrangler
deno	infra	brew-formula	active	Deno runtime	https://github.com/denoland/deno	deno
bun	infra	brew-formula	active	Bun JavaScript runtime, bundler, test runner, and package manager	https://bun.com/	bun
pnpm	infra	brew-formula	active	pnpm fast, disk-efficient JavaScript package manager	https://pnpm.io/	pnpm
jq	dev-utils	brew-formula	active	jq command-line JSON processor	https://jqlang.github.io/jq/	jq
yq	dev-utils	brew-formula	active	yq command-line YAML, JSON, XML, CSV, and properties processor	https://github.com/mikefarah/yq	yq
ripgrep	dev-utils	brew-formula	active	ripgrep fast recursive search (rg)	https://github.com/BurntSushi/ripgrep	ripgrep
fd	dev-utils	brew-formula	active	fd fast, user-friendly find replacement	https://github.com/sharkdp/fd	fd
just	dev-utils	brew-formula	active	just project command runner	https://just.systems/	just
shellcheck	dev-utils	brew-formula	active	ShellCheck shell-script static analyzer	https://www.shellcheck.net/	shellcheck
actionlint	dev-utils	brew-formula	active	actionlint GitHub Actions workflow checker	https://rhysd.github.io/actionlint/	actionlint
claude	coding-agents	special	active	Claude Code — Anthropic native CLI	https://github.com/anthropics/claude-code
